Title,Job Type,Skills,Company Location,Company Name,Time
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Data Analyst,Full Time,,"Smart Village, Giza, Egypt",Fawry for Banking Technology and Electronic Payments S.A.E -,2 days ago
Data Analyst,Full Time,,"Heliopolis, Cairo, Egypt",Confidential -,9 days ago
Data Analyst,Full Time,,"Katameya, Cairo, Egypt",Othaim -,4 days ago
Data Analyst,Full Time,,"Zamalek, Cairo, Egypt",Al Ahly capital holding - Al Ahly Tamkeen -,16 days ago
Data Analyst,Full Time,,"Maadi, Cairo, Egypt",Hands of Hope Physical Therapy & Wellness -,28 days ago
ERPNext Specialist/Data Analyst,Full Time,,"Alexandria, Egypt",Confidential -,28 days ago
Data Analyst,Full Time,,"Cairo, Egypt",Natcom -,25 days ago
Data Analyst,Full Time,,"Cairo, Egypt",Nugttah -,1 month ago
Senior Business Analyst,Full Time,,"Cairo, Egypt",Guardian towing -,8 days ago
Software Business Analyst,Full Time,,"Dokki, Giza, Egypt",WSC -,8 days ago
Market Research Analyst,Full Time,,"Maadi, Cairo, Egypt",Gap Polymers  -,9 days ago
Financial Analyst - Innoventures,Full Time,,"Heliopolis, Cairo, Egypt",Cultiv -,10 days ago
Business analyst,Full Time,,"Maadi, Cairo, Egypt",Dawi Clinics -,9 days ago
Data Analyst (On-Site),Full Time,,"Dokki, Giza, Egypt",Union Coop -,1 month ago
Senior Sales Analyst (Power BI),Full Time,,"10th of Ramadan City, Cairo, Egypt",Alarabia Group -,15 days ago
